Municipality,2017,2018,2019,2020,2021,2022,2023
4615 Fitjar,.,.,.,2.3,1.0,2.5,-0.2
4616 Tysnes,.,.,.,0.6,3.5,4.2,-0.7
4617 Kvinnherad,.,.,.,2.4,13.3,4.3,8.5
4618 Ullensvang,.,.,.,0.3,3.5,10.0,7.5
4619 Eidfjord,.,.,.,4.8,13.4,17.1,11.7
4620 Ulvik,.,.,.,5.4,3.9,-1.3,-3.2
4621 Voss,.,.,.,2.1,2.9,-1.0,-0.6
4622 Kvam,.,.,.,1.3,7.0,7.4,0.8
4623 Samnanger,.,.,.,0.7,4.8,7.6,3.0
4624 Bjørnafjorden,.,.,.,1.8,6.7,-3.7,-1.6
4625 Austevoll,.,.,.,6.8,3.2,5.1,-1.8
4626 Øygarden,.,.,.,-0.3,-0.1,1.4,-0.5
4627 Askøy,.,.,.,1.6,4.2,1.9,-1.7
4628 Vaksdal,.,.,.,4.1,3.3,4.0,23.6
4629 Modalen,.,.,.,6.4,7.3,7.4,-0.1
4630 Osterøy,.,.,.,-1.0,1.6,1.5,-3.2
4631 Alver,.,.,.,0.5,3.2,-0.4,-1.7
4632 Austrheim,.,.,.,4.5,2.2,1.0,-0.3
4633 Fedje,.,.,.,8.6,-1.4,3.0,-1.7
4634 Masfjorden,.,.,.,4.8,13.2,5.0,7.7
4635 Gulen,.,.,.,11.6,4.9,9.4,0.4
4636 Solund,.,.,.,13.7,2.5,14.1,0.5
4637 Hyllestad,.,.,.,7.8,0.0,2.3,-2.8
4638 Høyanger,.,.,.,2.5,0.2,-14.3,10.8
4639 Vik,.,.,.,2.8,4.6,14.7,9.7
4640 Sogndal,.,.,.,2.9,4.2,0.6,1.6
4641 Aurland,.,.,.,1.8,10.3,24.7,17.7
4642 Lærdal,.,.,.,5.3,8.7,3.8,13.3
4643 Årdal,.,.,.,-1.3,0.6,3.4,-0.3
4644 Luster,.,.,.,4.4,12.5,11.4,5.6
4645 Askvoll,.,.,.,2.8,0.3,0.3,-3.5
4646 Fjaler,.,.,.,-1.4,1.3,7.3,-3.0
4647 Sunnfjord,.,.,.,0.7,2.6,1.5,1.1
4648 Bremanger,.,.,.,1.7,3.8,13.1,5.4
4649 Stad,.,.,.,4.3,4.3,2.1,0.1
4650 Gloppen,.,.,.,0.3,4.4,2.7,-0.7
4651 Stryn,.,.,.,0.6,0.0,1.7,0.3
1201 Bergen (-2019),5.3,4.3,3.6,.,.,.,.
1211 Etne (-2019),3.0,5.4,-0.1,.,.,.,.
1216 Sveio (-2019),5.3,5.4,1.6,.,.,.,.
1219 Bømlo (-2019),0.9,2.6,0.9,.,.,.,.
1221 Stord (-2019),1.5,0.2,2.6,.,.,.,.
1222 Fitjar (-2019),1.3,5.4,2.0,.,.,.,.
1223 Tysnes (-2019),5.0,3.5,2.1,.,.,.,.
1224 Kvinnherad (-2019),7.2,2.0,6.7,.,.,.,.
1227 Jondal (-2019),2.2,10.8,0.4,.,.,.,.
1228 Odda (-2019),6.0,4.2,-0.1,.,.,.,.
1231 Ullensvang (-2019),9.7,-3.7,-4.4,.,.,.,.
1232 Eidfjord (-2019),5.5,8.2,4.8,.,.,.,.
1233 Ulvik (-2019),-0.2,0.0,1.1,.,.,.,.
1234 Granvin (-2019),2.8,2.8,-4.7,.,.,.,.
1235 Voss (-2019),3.9,-0.5,-2.0,.,.,.,.
1238 Kvam (-2019),2.4,4.7,2.0,.,.,.,.
1241 Fusa (-2019),1.4,6.2,-7.7,.,.,.,.
1242 Samnanger (-2019),2.7,1.4,-0.3,.,.,.,.
1243 Os (Hordaland) (-2019),9.3,6.4,4.5,.,.,.,.
1244 Austevoll (-2019),2.6,6.1,2.0,.,.,.,.
1245 Sund (-2019),3.7,3.2,-2.1,.,.,.,.
1246 Fjell (-2019),1.8,-3.3,-5.0,.,.,.,.
1247 Askøy (-2019),1.6,-0.3,0.3,.,.,.,.
1251 Vaksdal (-2019),5.8,3.5,3.2,.,.,.,.
1252 Modalen (-2019),10.3,-1.7,3.8,.,.,.,.
1253 Osterøy (-2019),0.0,3.1,-0.6,.,.,.,.
1256 Meland (-2019),-1.0,0.8,-2.7,.,.,.,.
1259 Øygarden (-2019),5.1,6.2,-6.2,.,.,.,.
1260 Radøy (-2019),0.3,3.6,-3.1,.,.,.,.
1263 Lindås (-2019),7.4,2.9,-1.0,.,.,.,.
1264 Austrheim (-2019),-0.2,0.4,2.4,.,.,.,.
1265 Fedje (-2019),3.0,0.5,-2.7,.,.,.,.
1266 Masfjorden (-2019),3.1,3.4,2.3,.,.,.,.
1401 Flora (-2019),3.2,-0.5,-0.7,.,.,.,.
1411 Gulen (-2019),-2.8,11.4,6.8,.,.,.,.
1412 Solund (-2019),1.9,17.4,1.2,.,.,.,.
1413 Hyllestad (-2019),-0.1,8.4,1.0,.,.,.,.
1416 Høyanger (-2019),1.7,0.5,0.3,.,.,.,.
1417 Vik (-2019),-1.0,2.3,2.7,.,.,.,.
1418 Balestrand (-2019),15.3,-3.1,-6.5,.,.,.,.
1419 Leikanger (-2019),7.1,-2.6,-9.8,.,.,.,.
1420 Sogndal (-2019),6.3,5.4,-2.6,.,.,.,.
1421 Aurland (-2019),6.7,8.2,3.4,.,.,.,.
1422 Lærdal (-2019),-0.1,-0.7,-1.2,.,.,.,.
1424 Årdal (-2019),3.6,2.9,-0.3,.,.,.,.
1426 Luster (-2019),4.8,0.9,5.0,.,.,.,.
1428 Askvoll (-2019),3.6,4.4,-0.2,.,.,.,.
1429 Fjaler (-2019),5.2,4.0,-1.4,.,.,.,.
1430 Gaular (-2019),1.4,4.2,-1.5,.,.,.,.
1431 Jølster (-2019),-0.8,-0.4,5.9,.,.,.,.
1432 Førde (-2019),7.6,0.4,2.0,.,.,.,.
1433 Naustdal (-2019),2.3,-0.6,0.5,.,.,.,.
1438 Bremanger (-2019),5.1,7.1,2.8,.,.,.,.
1439 Vågsøy (-2019),-1.7,-0.2,0.9,.,.,.,.
1441 Selje (-2019),5.0,7.7,3.0,.,.,.,.
1443 Eid (-2019),4.5,-1.6,0.3,.,.,.,.
1444 Hornindal (-2019),2.6,-2.7,-3.0,.,.,.,.
1445 Gloppen (-2019),-0.7,-0.3,-1.5,.,.,.,.
1449 Stryn (-2019),1.1,2.5,-2.8,.,.,.,.
1502 Molde (-2019),3.7,1.2,-1.3,.,.,.,.
1504 Ålesund (-2019),5.1,0.9,-2.3,.,.,.,.
1505 Kristiansund,1.0,-0.9,0.9,2.0,2.4,0.5,-0.4
1506 Molde,.,.,.,3.2,2.6,-0.4,-2.3
1507 Ålesund (2020-2023),.,.,.,-1.7,0.4,2.9,2.5
1508 Ålesund,.,.,.,.,.,.,.
1511 Vanylven,5.0,4.7,-5.1,-1.9,1.4,1.3,-3.2
1514 Sande,2.6,-1.1,-0.3,1.1,1.9,-2.0,-2.5
1515 Herøy (Møre og Romsdal),1.6,0.1,1.7,-0.1,0.0,-2.2,-6.7
1516 Ulstein,0.7,0.7,0.6,0.2,0.8,0.3,-1.7
1517 Hareid,0.3,-0.3,0.0,-0.2,0.8,0.3,-8.7
1519 Volda (-2019),4.6,0.7,-7.7,.,.,.,.
1520 Ørsta,1.1,0.3,-0.2,0.4,1.1,1.5,-3.6
1523 Ørskog (-2019),2.2,-1.9,-6.6,.,.,.,.
1524 Norddal (-2019),8.9,-2.3,-5.9,.,.,.,.
1525 Stranda,5.3,2.9,2.2,-1.5,-0.1,2.3,4.4
1526 Stordal (-2019),-1.8,-1.5,-2.6,.,.,.,.
1528 Sykkylven,1.8,0.3,-0.3,-0.4,1.6,2.3,1.7
1529 Skodje (-2019),3.8,3.0,-2.2,.,.,.,.
1531 Sula,1.3,-1.3,0.6,-0.2,4.0,2.1,-1.4
1532 Giske,2.3,-0.5,-1.0,-0.5,4.5,4.1,0.3
1534 Haram (-2019),2.0,-0.4,-1.6,.,.,.,.
1535 Vestnes,0.9,1.4,-0.5,-1.4,-1.8,2.4,0.5
1539 Rauma,2.4,0.9,-1.5,-5.7,0.0,4.2,2.1
1543 Nesset (-2019),1.3,1.5,0.6,.,.,.,.
1545 Midsund (-2019),-3.1,2.5,-2.5,.,.,.,.
1546 Sandøy (-2019),2.6,-1.6,-5.1,.,.,.,.
1547 Aukra,21.4,22.8,27.2,22.9,12.4,14.2,26.9
1548 Fræna (-2019),7.4,0.5,-2.4,.,.,.,.
1551 Eide (-2019),-3.3,-6.1,-2.7,.,.,.,.
1554 Averøy,1.1,3.2,-0.7,6.0,-0.5,-1.0,-3.0
1557 Gjemnes,2.8,4.3,0.0,-2.3,-2.0,2.2,6.0
1560 Tingvoll,4.3,4.3,-2.7,2.6,1.4,0.5,-8.0
1563 Sunndal,2.1,-0.4,-3.8,-0.2,4.0,4.2,0.9
1566 Surnadal,1.7,-2.3,-2.6,1.6,2.4,0.8,-0.7
1567 Rindal,3.2,-0.5,.,.,.,.,.
1571 Halsa (-2019),3.2,3.5,-7.9,.,.,.,.
1573 Smøla,-1.3,11.5,-1.1,8.7,2.8,5.6,-3.0
1576 Aure,-0.3,4.0,-1.3,4.8,2.8,4.8,0.1
1577 Volda,.,.,.,2.3,1.7,1.8,2.5
1578 Fjord,.,.,.,0.7,-1.8,-4.0,0.8
1579 Hustadvika,.,.,.,0.7,4.3,2.6,-2.3
1580 Haram,.,.,.,.,.,.,.
5001 Trondheim - Tråante,.,1.8,3.7,4.0,6.6,2.0,1.8
5004 Steinkjer (2018-2019),.,2.1,0.1,.,.,.,.
5005 Namsos (2018-2019),.,1.3,1.5,.,.,.,.
5006 Steinkjer,.,.,.,1.9,3.9,0.3,-2.8
5007 Namsos - Nåavmesjenjaelmie,.,.,.,4.4,2.1,2.7,-2.1
5011 Hemne (2018-2019),.,-3.2,-3.5,.,.,.,.
5012 Snillfjord (2018-2019),.,11.3,-11.5,.,.,.,.
5013 Hitra (2018-2019),.,8.4,-1.4,.,.,.,.
5014 Frøya,.,8.9,-4.9,18.9,13.2,4.9,-2.7
5015 Ørland (2018-2019),.,3.3,-2.1,.,.,.,.
5016 Agdenes (2018-2019),.,6.0,1.1,.,.,.,.
5017 Bjugn (2018-2019),.,6.8,-0.7,.,.,.,.
5018 Åfjord (2018-2019),.,4.8,0.5,.,.,.,.
5019 Roan (2018-2019),.,16.8,5.2,.,.,.,.
5020 Osen,.,9.9,3.9,5.1,3.1,7.6,1.4
5021 Oppdal,.,4.3,2.4,1.9,5.3,5.1,1.4
5022 Rennebu,.,4.2,4.6,7.0,1.8,-5.3,-8.3
5023 Meldal (2018-2019),.,3.5,3.1,.,.,.,.
5024 Orkdal (2018-2019),.,4.0,-0.6,.,.,.,.
5025 Røros - Rosse,.,2.6,0.7,0.5,1.8,-0.3,-7.2
5026 Holtålen,.,3.7,-1.2,-0.7,-1.7,-1.6,-2.0
5027 Midtre Gauldal,.,2.7,0.1,0.7,4.8,2.4,-3.8
5028 Melhus,.,2.0,2.8,4.2,3.7,-0.7,-0.2
5029 Skaun,.,0.4,1.1,1.6,3.1,0.9,-2.6
5030 Klæbu (2018-2019),.,0.9,-4.1,.,.,.,.
5031 Malvik,.,2.3,0.3,1.3,4.2,2.0,-1.5
5032 Selbu,.,-0.6,0.7,2.0,5.1,2.5,-0.4
5033 Tydal,.,3.5,2.3,10.3,6.2,10.8,13.6
5034 Meråker,.,1.3,3.2,5.5,2.9,1.6,2.4
5035 Stjørdal,.,3.1,5.1,5.8,5.7,0.8,-2.6
5036 Frosta,.,-1.7,-0.2,4.2,4.6,4.4,-0.7
5037 Levanger,.,-0.6,-0.6,-1.2,2.4,2.6,-1.1
5038 Verdal,.,-0.4,0.8,3.2,3.8,4.0,0.5
5039 Verran (2018-2019),.,1.4,1.5,.,.,.,.
5040 Namdalseid (2018-2019),.,4.2,0.8,.,.,.,.
5041 Snåase - Snåsa,.,-3.5,2.3,1.4,5.7,1.1,0.1
5042 Lierne,.,2.0,0.5,1.6,2.0,3.3,4.4
5043 Raarvihke - Røyrvik,.,-0.7,0.6,-0.9,4.0,-0.4,-7.6
5044 Namsskogan,.,3.8,-0.5,2.9,5.6,6.1,10.0
5045 Grong,.,2.0,2.9,0.9,-0.6,-0.8,1.8
5046 Høylandet,.,1.7,0.6,2.3,1.3,-0.6,0.9
5047 Overhalla,.,1.1,2.1,3.5,2.3,2.3,-1.9
5048 Fosnes (2018-2019),.,5.2,2.4,.,.,.,.
5049 Flatanger,.,21.4,1.2,19.9,2.7,17.9,8.1
5050 Vikna (2018-2019),.,11.4,-0.8,.,.,.,.
5051 Nærøy (2018-2019),.,14.0,-1.3,.,.,.,.
5052 Leka,.,22.8,-4.0,7.3,-10.3,10.0,0.5
5053 Inderøy,.,1.8,3.2,3.1,5.3,3.6,-1.4
5054 Indre Fosen,.,1.5,-0.4,-3.0,1.1,1.2,-3.6
5055 Heim,.,.,.,-1.9,-1.2,10.4,5.1
5056 Hitra,.,.,.,7.0,1.2,6.6,-2.8
5057 Ørland,.,.,.,2.1,5.3,0.9,-3.7
5058 Åfjord,.,.,.,6.2,1.7,1.2,-2.5
5059 Orkland,.,.,.,6.8,5.4,6.2,3.0
5060 Nærøysund,.,.,.,4.4,4.0,5.4,1.1
5061 Rindal,.,.,-0.3,1.5,-0.9,0.1,2.3
1601 Trondheim (-2017),4.8,.,.,.,.,.,.
1612 Hemne (-2017),8.9,.,.,.,.,.,.
1613 Snillfjord (-2017),0.0,.,.,.,.,.,.
1617 Hitra (-2017),2.1,.,.,.,.,.,.
1620 Frøya (-2017),8.8,.,.,.,.,.,.
1621 Ørland (-2017),3.3,.,.,.,.,.,.
1622 Agdenes (-2017),0.2,.,.,.,.,.,.
1624 Rissa (-2017),-0.8,.,.,.,.,.,.
1627 Bjugn (-2017),10.7,.,.,.,.,.,.
1630 Åfjord (-2017),8.5,.,.,.,.,.,.
1632 Roan (-2017),6.6,.,.,.,.,.,.
1633 Osen (-2017),2.3,.,.,.,.,.,.
1634 Oppdal (-2017),4.3,.,.,.,.,.,.
1635 Rennebu (-2017),1.7,.,.,.,.,.,.
1636 Meldal (-2017),3.3,.,.,.,.,.,.
1638 Orkdal (-2017),8.3,.,.,.,.,.,.
1640 Røros (-2017),1.6,.,.,.,.,.,.
1644 Holtålen (-2017),0.6,.,.,.,.,.,.
1648 Midtre Gauldal (-2017),5.3,.,.,.,.,.,.
1653 Melhus (-2017),1.6,.,.,.,.,.,.
1657 Skaun (-2017),3.9,.,.,.,.,.,.
1662 Klæbu (-2017),6.2,.,.,.,.,.,.
1663 Malvik (-2017),4.1,.,.,.,.,.,.
1664 Selbu (-2017),5.2,.,.,.,.,.,.
1665 Tydal (-2017),-0.1,.,.,.,.,.,.
1702 Steinkjer (-2017),3.4,.,.,.,.,.,.
1703 Namsos (-2017),4.7,.,.,.,.,.,.
1711 Meråker (-2017),5.5,.,.,.,.,.,.
1714 Stjørdal (-2017),4.3,.,.,.,.,.,.
1717 Frosta (-2017),-0.9,.,.,.,.,.,.
1718 Leksvik (-2017),-1.4,.,.,.,.,.,.
1719 Levanger (-2017),0.3,.,.,.,.,.,.
1721 Verdal (-2017),3.1,.,.,.,.,.,.
1724 Verran (-2017),3.5,.,.,.,.,.,.
1725 Namdalseid (-2017),2.0,.,.,.,.,.,.
1736 Snåase - Snåsa (-2017),2.1,.,.,.,.,.,.
1738 Lierne (-2017),-1.9,.,.,.,.,.,.
1739 Raarvihke - Røyrvik (-2017),3.3,.,.,.,.,.,.
1740 Namsskogan (-2017),6.1,.,.,.,.,.,.
1742 Grong (-2017),2.7,.,.,.,.,.,.
1743 Høylandet (-2017),0.9,.,.,.,.,.,.
1744 Overhalla (-2017),3.8,.,.,.,.,.,.
1748 Fosnes (-2017),2.2,.,.,.,.,.,.
1749 Flatanger (-2017),5.1,.,.,.,.,.,.
1750 Vikna (-2017),5.6,.,.,.,.,.,.
1751 Nærøy (-2017),10.4,.,.,.,.,.,.
1755 Leka (-2017),4.8,.,.,.,.,.,.
1756 Inderøy (-2017),-0.4,.,.,.,.,.,.
1804 Bodø,2.6,0.6,1.0,-0.6,1.0,4.0,0.3
1805 Narvik (-2019),4.3,2.2,-1.1,.,.,.,.
1806 Narvik,.,.,.,-2.1,1.0,2.2,0.1
1811 Bindal,4.5,13.7,3.7,9.4,5.6,9.1,8.4
1812 Sømna,2.3,3.7,-1.7,-0.4,6.9,4.6,-3.7
1813 Brønnøy,3.0,4.4,2.6,1.3,2.6,2.4,-1.3
1815 Vega,-1.2,-1.1,0.2,3.1,2.6,4.0,-5.1
1816 Vevelstad,5.3,12.7,12.5,2.6,3.7,3.3,-12.9
1818 Herøy (Nordland),6.4,12.7,-0.1,11.8,7.4,11.5,0.3
1820 Alstahaug,2.2,1.6,-0.5,3.2,5.9,3.2,-1.9
1822 Leirfjord,-1.1,2.1,0.5,0.7,0.7,2.2,-5.4
1824 Vefsn,3.8,0.8,-0.1,0.8,2.7,1.3,-0.4
1825 Grane,3.7,6.5,5.7,-1.8,6.3,2.8,-5.2
1826 Hattfjelldal - Aarborte,1.3,4.5,3.8,7.2,3.8,-3.8,-5.0
1827 Dønna,4.2,12.1,-1.1,5.2,3.0,3.2,-8.6
1828 Nesna,3.7,1.2,-1.3,-0.3,-0.4,-0.5,-2.8
1832 Hemnes,-2.4,-1.0,2.5,4.5,2.4,-1.3,0.7
1833 Rana,4.9,5.5,5.0,6.7,5.5,8.6,-10.4
1834 Lurøy,8.7,18.0,9.8,16.4,13.1,24.7,10.7
1835 Træna,1.3,8.9,-0.6,-2.0,7.6,4.3,2.3
1836 Rødøy,-2.3,17.1,2.5,9.0,1.5,15.6,10.6
1837 Meløy,0.7,5.2,3.8,2.2,-2.9,-5.0,-6.2
1838 Gildeskål,6.4,1.1,3.5,8.1,4.1,2.8,7.2
1839 Beiarn,8.4,-3.8,8.1,1.8,7.6,-9.3,2.2
1840 Saltdal,1.4,1.1,-0.6,0.5,3.2,2.2,-0.8
1841 Fauske - Fuossko,-1.7,-2.0,-3.7,-0.6,1.7,5.8,2.8
1845 Sørfold,0.0,-0.9,1.5,5.4,-3.9,1.5,4.9
1848 Steigen,-0.9,9.3,0.2,3.6,0.2,2.4,-6.3
1849 Hamarøy - Hábmer (-2019),5.6,1.5,-3.7,.,.,.,.
1850 Divtasvuodna - Tysfjord (-2019),-7.1,3.5,-3.3,.,.,.,.
1851 Lødingen,-2.2,0.5,-5.6,-0.2,-4.6,3.1,4.2
1852 Tjeldsund (-2019),1.7,4.2,2.5,.,.,.,.
1853 Evenes - Evenássi,-0.5,-2.8,-1.0,6.5,4.4,3.5,-6.0
1854 Ballangen (-2019),5.1,4.9,0.0,.,.,.,.
1856 Røst,8.9,6.7,0.3,6.7,7.1,10.2,0.0
1857 Værøy,4.3,1.1,-1.1,4.8,7.9,6.1,5.3
1859 Flakstad,9.5,10.3,3.7,2.4,-3.6,-2.1,-1.5
1860 Vestvågøy,-0.2,0.3,-1.7,-1.8,3.4,3.7,-0.1
1865 Vågan,3.4,2.0,-2.8,-2.0,-3.4,-0.4,-6.7
1866 Hadsel,0.3,4.8,-0.2,1.6,-1.8,2.0,-2.5
1867 Bø,-0.5,1.8,-1.5,5.9,23.2,-7.9,-4.4
1868 Øksnes,-0.2,5.6,0.3,7.3,11.7,0.0,-3.8
1870 Sortland - Suortá,2.0,1.8,0.4,4.0,1.0,1.1,1.5
1871 Andøy,1.3,2.7,-0.5,-2.2,21.5,-4.0,-6.5
1874 Moskenes,-2.3,-5.2,-8.3,-6.8,-15.9,-10.4,-19.8
1875 Hamarøy - Hábmer,.,.,.,6.0,4.2,4.9,-3.9
5501 Tromsø,.,.,.,.,.,.,.
5503 Harstad - Hárstták,.,.,.,.,.,.,.
5510 Kvæfjord,.,.,.,.,.,.,.
5512 Dielddanuorri - Tjeldsund,.,.,.,.,.,.,.
5514 Ibestad,.,.,.,.,.,.,.
5516 Gratangen,.,.,.,.,.,.,.
5518 Loabák - Lavangen,.,.,.,.,.,.,.
5520 Bardu,.,.,.,.,.,.,.
5522 Salangen,.,.,.,.,.,.,.
5524 Målselv,.,.,.,.,.,.,.
5526 Sørreisa,.,.,.,.,.,.,.
5528 Dyrøy,.,.,.,.,.,.,.
5530 Senja,.,.,.,.,.,.,.
5532 Balsfjord,.,.,.,.,.,.,.
5534 Karlsøy,.,.,.,.,.,.,.
5536 Lyngen,.,.,.,.,.,.,.
5538 Storfjord - Omasvuotna - Omasvuono,.,.,.,.,.,.,.
5540 Gáivuotna - Kåfjord - Kaivuono,.,.,.,.,.,.,.
5542 Skjervøy,.,.,.,.,.,.,.
5544 Nordreisa - Ráisa - Raisi,.,.,.,.,.,.,.
5546 Kvænangen,.,.,.,.,.,.,.
5601 Alta,.,.,.,.,.,.,.
5603 Hammerfest - Hámmerfeasta,.,.,.,.,.,.,.
5605 Sør-Varanger,.,.,.,.,.,.,.
5607 Vadsø,.,.,.,.,.,.,.
5610 Kárášjohka - Karasjok,.,.,.,.,.,.,.
5612 Guovdageaidnu - Kautokeino,.,.,.,.,.,.,.
5614 Loppa,.,.,.,.,.,.,.
5616 Hasvik,.,.,.,.,.,.,.
5618 Måsøy,.,.,.,.,.,.,.
5620 Nordkapp,.,.,.,.,.,.,.
5622 Porsanger - Porsángu - Porsanki,.,.,.,.,.,.,.
5624 Lebesby,.,.,.,.,.,.,.
5626 Gamvik,.,.,.,.,.,.,.
5628 Deatnu - Tana,.,.,.,.,.,.,.
5630 Berlevåg,.,.,.,.,.,.,.
5632 Båtsfjord,.,.,.,.,.,.,.
5634 Vardø,.,.,.,.,.,.,.
5636 Unjárga - Nesseby,.,.,.,.,.,.,.
5401 Tromsø (2020-2023),.,.,.,1.7,3.0,1.6,-4.0
5402 Harstad (2020-2023),.,.,.,1.3,1.6,3.5,-2.8
5403 Alta (2020-2023),.,.,.,0.0,-0.3,3.3,-1.8
5404 Vardø (2020-2023),.,.,.,8.6,4.8,4.7,0.9
5405 Vadsø (2020-2023),.,.,.,0.5,-3.3,-3.4,-6.3
5406 Hammerfest (2020-2023),.,.,.,4.4,5.9,0.4,-3.1
5411 Kvæfjord (2020-2023),.,.,.,6.6,-0.3,4.5,1.1
5412 Tjeldsund (2020-2023),.,.,.,-2.6,-3.0,0.1,0.8
5413 Ibestad (2020-2023),.,.,.,7.3,-1.3,6.6,-7.8
5414 Gratangen (2020-2023),.,.,.,10.3,8.6,6.0,-6.3
5415 Loabák - Lavangen (2020-2023),.,.,.,-0.3,-0.1,12.7,-0.3
5416 Bardu (2020-2023),.,.,.,0.5,-2.6,1.8,3.0
5417 Salangen (2020-2023),.,.,.,5.5,-1.1,2.9,2.2
5418 Målselv (2020-2023),.,.,.,0.3,1.8,2.7,2.6
5419 Sørreisa (2020-2023),.,.,.,-1.2,2.5,3.1,-1.6
5420 Dyrøy (2020-2023),.,.,.,2.0,-0.6,6.3,-0.4
5421 Senja (2020-2023),.,.,.,3.2,2.4,4.9,-0.2
5422 Balsfjord (2020-2023),.,.,.,4.2,3.3,-0.4,0.8
5423 Karlsøy (2020-2023),.,.,.,9.7,-0.3,11.5,0.5
5424 Lyngen (2020-2023),.,.,.,-0.1,2.9,2.9,-1.6
5425 Storfjord - Omasvuotna - Omasvuono (2020-2023),.,.,.,-0.8,-2.0,0.9,4.5
5426 Gáivuotna - Kåfjord - Kaivuono (2020-2023),.,.,.,0.4,2.2,3.2,-5.7
5427 Skjervøy (2020-2023),.,.,.,4.8,3.5,11.0,2.0
5428 Nordreisa (2020-2023),.,.,.,1.0,1.9,1.3,-2.4
5429 Kvænangen (2020-2023),.,.,.,9.5,3.3,6.9,-2.7
5430 Guovdageaidnu-Kautokeino (2020-2023),.,.,.,6.4,5.9,2.2,-6.6
5432 Loppa (2020-2023),.,.,.,7.8,-0.3,4.0,13.5
5433 Hasvik (2020-2023),.,.,.,0.9,4.1,6.4,-0.6
5434 Måsøy (2020-2023),.,.,.,8.6,1.9,4.6,-6.9
5435 Nordkapp (2020-2023),.,.,.,5.1,2.6,4.9,4.2
5436 Porsanger - Porsángu - Porsanki  (2020-2023),.,.,.,1.0,1.1,2.9,4.8
5437 Kárásjohka-Karasjok (2020-2023),.,.,.,3.3,2.9,2.3,1.8
5438 Lebesby (2020-2023),.,.,.,9.4,1.9,8.1,9.0
5439 Gamvik (2020-2023),.,.,.,1.1,1.3,-5.3,0.5
5440 Berlevåg (2020-2023),.,.,.,5.3,-3.4,-1.2,-1.4
5441 Deatnu-Tana (2020-2023),.,.,.,2.7,-1.4,0.5,-3.1
5442 Unjárga-Nesseby (2020-2023),.,.,.,4.7,0.7,3.4,-4.1
5443 Båtsfjord (2020-2023),.,.,.,2.8,-0.6,-3.5,-9.3
5444 Sør-Varanger (2020-2023),.,.,.,0.3,-4.2,-1.8,-3.3
1902 Tromsø (-2019),1.5,-1.1,-2.3,.,.,.,.
1903 Harstad - Hárstták (2013-2019),4.2,4.1,0.2,.,.,.,.
1911 Kvæfjord (-2019),4.7,5.2,1.3,.,.,.,.
1913 Skånland (-2019),12.4,4.0,-7.8,.,.,.,.
1917 Ibestad (-2019),2.8,14.4,-13.0,.,.,.,.
1919 Gratangen (-2019),1.5,2.8,-4.8,.,.,.,.
1920 Loabák - Lavangen (-2019),3.8,3.7,-6.0,.,.,.,.
1922 Bardu (-2019),0.4,-3.5,-2.6,.,.,.,.
1923 Salangen (-2019),4.5,4.5,0.4,.,.,.,.
1924 Målselv (-2019),-1.0,-0.2,1.5,.,.,.,.
1925 Sørreisa (-2019),2.4,-1.0,-3.5,.,.,.,.
1926 Dyrøy (-2019),-0.8,6.9,-5.2,.,.,.,.
1927 Tranøy (-2019),2.0,4.0,-11.4,.,.,.,.
1928 Torsken (-2019),30.9,3.4,-21.1,.,.,.,.
1929 Berg (-2019),3.5,2.8,-11.2,.,.,.,.
1931 Lenvik (-2019),0.4,2.6,-1.2,.,.,.,.
1933 Balsfjord (-2019),2.4,3.1,-1.0,.,.,.,.
1936 Karlsøy (-2019),2.0,13.6,-1.2,.,.,.,.
1938 Lyngen (-2019),2.3,2.1,0.5,.,.,.,.
1939 Storfjord - Omasvuotna - Omasvuono (-2019),3.4,1.2,-5.5,.,.,.,.
1940 Gáivuotna - Kåfjord - Kaivuono (-2019),3.1,2.3,-4.2,.,.,.,.
1941 Skjervøy (-2019),1.6,8.3,-1.0,.,.,.,.
1942 Nordreisa - Ráisa - Raisi (-2019),3.0,1.8,-3.6,.,.,.,.
1943 Kvænangen (-2019),2.0,12.5,-2.7,.,.,.,.
2002 Vardø (-2019),4.4,2.9,-0.8,.,.,.,.
2003 Vadsø (-2019),5.1,1.0,-0.2,.,.,.,.
2004 Hammerfest (-2019),6.6,6.7,3.0,.,.,.,.
2011 Guovdageaidnu - Kautokeino (-2019),2.7,6.1,5.6,.,.,.,.
2012 Alta (-2019),0.7,1.4,0.0,.,.,.,.
2014 Loppa (-2019),4.1,18.2,-2.6,.,.,.,.
2015 Hasvik (-2019),3.6,6.1,-1.1,.,.,.,.
2017 Kvalsund (-2019),1.5,6.3,-5.3,.,.,.,.
2018 Måsøy (-2019),-0.6,12.2,5.8,.,.,.,.
2019 Nordkapp (-2019),2.7,7.0,3.0,.,.,.,.
2020 Porsanger - Porsángu - Porsanki (-2019),-3.4,-5.4,-0.1,.,.,.,.
2021 Kárásjohka - Karasjok (-2019),-3.2,-3.3,-1.3,.,.,.,.
2022 Lebesby (-2019),2.4,8.5,4.8,.,.,.,.
2023 Gamvik (-2019),1.9,0.0,-1.9,.,.,.,.
2024 Berlevåg (-2019),0.6,1.3,-0.7,.,.,.,.
2025 Deatnu - Tana (-2019),2.0,-1.3,0.2,.,.,.,.
2027 Unjárga - Nesseby (-2019),-0.7,5.9,3.1,.,.,.,.
2028 Båtsfjord (-2019),3.1,1.2,2.0,.,.,.,.
